driverId,avg_gain,gain_pct,volatility,p10_gain,p90_gain,avg_qual,avg_finish,gain_per_qual_rank,race_count,year,cluster,cluster_name
44,-1.7058823529411764,0.4117647058823529,4.71387189423876,-7.4,3.8000000000000007,11.352941176470589,13.058823529411764,-0.15025906735751293,17,2004,0,Consistent Climbers
45,0.9285714285714286,0.6428571428571429,2.6736401493753132,-1.7,4.400000000000002,17.071428571428573,16.142857142857142,0.05439330543933054,14,2004,2,Underperformers
46,2.0,0.7777777777777778,2.6346112560657287,-2.0,6.0,18.666666666666668,16.666666666666668,0.10714285714285714,18,2004,2,Underperformers
47,3.0555555555555554,0.7777777777777778,3.455127855337921,0.0,8.600000000000001,18.555555555555557,15.5,0.1646706586826347,18,2004,2,Underperformers
2,-1.2142857142857142,0.42857142857142855,6.840811596346101,-12.0,6.700000000000001,9.642857142857142,10.857142857142858,-0.1259259259259259,14,2005,0,Consistent Climbers
4,0.42105263157894735,0.47368421052631576,5.5908237265648495,-5.0,5.9999999999999964,4.052631578947368,3.6315789473684212,0.1038961038961039,19,2005,0,Consistent Climbers
8,-0.8947368421052632,0.47368421052631576,7.673147527739587,-10.2,6.0,4.105263157894737,5.0,-0.21794871794871792,19,2005,0,Consistent Climbers
11,-3.5,0.3125,7.201851613763413,-12.5,5.0,10.625,14.125,-0.32941176470588235,16,2005,1,Volatile Drivers
13,0.8421052631578947,0.47368421052631576,5.490022848512835,-5.0,6.199999999999999,11.631578947368421,10.789473684210526,0.07239819004524886,19,2005,0,Consistent Climbers
14,0.3157894736842105,0.5263157894736842,4.85400901408021,-5.2,5.199999999999999,11.263157894736842,10.947368421052632,0.02803738317757009,19,2005,0,Consistent Climbers
15,-2.8421052631578947,0.21052631578947367,3.4843006295658503,-6.2,1.0,5.7368421052631575,8.578947368421053,-0.4954128440366973,19,2005,0,Consistent Climbers
17,-2.1052631578947367,0.3684210526315789,7.302166625522906,-13.0,6.599999999999998,8.210526315789474,10.31578947368421,-0.2564102564102564,19,2005,1,Volatile Drivers
18,-2.4705882352941178,0.29411764705882354,6.2261308918422955,-10.2,4.800000000000001,6.176470588235294,8.647058823529411,-0.4,17,2005,1,Volatile Drivers
21,-3.210526315789474,0.3157894736842105,6.1965846091789505,-12.4,3.0,5.421052631578948,8.631578947368421,-0.5922330097087378,19,2005,1,Volatile Drivers
22,2.4210526315789473,0.5789473684210527,5.824429294633693,-4.0,9.0,10.68421052631579,8.263157894736842,0.22660098522167488,19,2005,2,Underperformers
23,1.5555555555555556,0.6666666666666666,5.090038971562609,-4.199999999999999,6.0,8.944444444444445,7.388888888888889,0.17391304347826086,18,2005,2,Underperformers
27,2.789473684210526,0.6842105263157895,3.838097725703031,-1.4,6.199999999999999,17.473684210526315,14.68421052631579,0.15963855421686746,19,2005,2,Underperformers
30,-0.2631578947368421,0.5263157894736842,7.093362353192187,-11.6,6.199999999999999,8.473684210526315,8.736842105263158,-0.031055900621118012,19,2005,0,Consistent Climbers
31,-1.588235294117647,0.47058823529411764,9.090233932148086,-14.4,8.600000000000001,7.647058823529412,9.235294117647058,-0.20769230769230768,17,2005,1,Volatile Drivers
32,-0.8666666666666667,0.3333333333333333,6.010308604706544,-7.3999999999999995,7.6,11.0,11.866666666666667,-0.0787878787878788,15,2005,0,Consistent Climbers
33,4.421052631578948,0.7894736842105263,4.426131863699251,-0.3999999999999999,8.599999999999998,17.263157894736842,12.842105263157896,0.25609756097560976,19,2005,2,Underperformers
35,0.631578947368421,0.42105263157894735,4.585127240640711,-4.0,7.199999999999999,12.368421052631579,11.736842105263158,0.05106382978723404,19,2005,0,Consistent Climbers
38,2.125,0.75,2.356601669474803,-0.29999999999999993,4.6,17.875,15.75,0.11888111888111888,8,2005,2,Underperformers
39,2.0526315789473686,0.5263157894736842,4.893007303063858,-3.0,6.599999999999998,16.94736842105263,14.894736842105264,0.12111801242236027,19,2005,2,Underperformers
40,1.9090909090909092,0.36363636363636365,4.9488290626075475,-1.0,8.0,17.90909090909091,16.0,0.1065989847715736,11,2005,2,Underperformers
42,0.0,0.2,5.52268050859363,-4.6,5.4,14.2,14.2,0.0,5,2005,0,Consistent Climbers
2,0.6111111111111112,0.6111111111111112,5.1579623072875105,-7.3,6.600000000000001,10.722222222222221,10.11111111111111,0.05699481865284975,18,2006,0,Consistent Climbers
3,-2.7777777777777777,0.4444444444444444,7.635486467460423,-12.2,5.0,12.222222222222221,15.0,-0.2272727272727273,18,2006,1,Volatile Drivers
4,0.7777777777777778,0.5555555555555556,3.0400378394617853,-1.0,3.3000000000000007,4.333333333333333,3.5555555555555554,0.17948717948717952,18,2006,2,Underperformers
8,-2.9444444444444446,0.3888888888888889,9.301943011589014,-15.3,4.600000000000001,5.944444444444445,8.88888888888889,-0.4953271028037383,18,2006,1,Volatile Drivers
9,-2.1666666666666665,0.3333333333333333,5.636192568273964,-8.0,3.0,9.166666666666666,11.333333333333334,-0.23636363636363636,6,2006,0,Consistent Climbers
11,4.166666666666667,0.8333333333333334,3.294380241634318,-0.2999999999999998,7.600000000000001,20.38888888888889,16.22222222222222,0.20435967302452318,18,2006,2,Underperformers
13,0.2777777777777778,0.2777777777777778,5.038738819276991,-5.3,6.800000000000004,6.444444444444445,6.166666666666667,0.04310344827586207,18,2006,0,Consistent Climbers
14,1.6111111111111112,0.6666666666666666,5.214672612687813,-4.8999999999999995,8.0,13.833333333333334,12.222222222222221,0.11646586345381527,18,2006,2,Underperformers
15,-1.9444444444444444,0.3333333333333333,8.666855201569213,-12.899999999999999,7.5000000000000036,10.333333333333334,12.277777777777779,-0.1881720430107527,18,2006,1,Volatile Drivers
17,-4.277777777777778,0.3333333333333333,7.8949392245588,-14.0,5.300000000000001,10.777777777777779,15.055555555555555,-0.39690721649484534,18,2006,1,Volatile Drivers
18,-0.6111111111111112,0.3888888888888889,5.259600621036777,-8.3,3.0,7.388888888888889,8.0,-0.08270676691729323,18,2006,0,Consistent Climbers
21,-0.5,0.3888888888888889,4.617740725913995,-5.099999999999999,3.6000000000000014,5.777777777777778,6.277777777777778,-0.08653846153846154,18,2006,0,Consistent Climbers
22,-2.2222222222222223,0.2777777777777778,5.29767491236714,-9.3,3.200000000000003,7.333333333333333,9.555555555555555,-0.30303030303030304,18,2006,0,Consistent Climbers
23,-2.7777777777777777,0.3333333333333333,5.461690705219138,-13.3,2.3000000000000007,8.833333333333334,11.61111111111111,-0.31446540880503143,18,2006,1,Volatile Drivers
24,2.388888888888889,0.7777777777777778,4.089281382128433,-1.5999999999999996,7.0,15.88888888888889,13.5,0.15034965034965034,18,2006,2,Underperformers
26,3.2222222222222223,0.7777777777777778,5.012402917417548,-3.5999999999999996,8.600000000000001,17.0,13.777777777777779,0.1895424836601307,18,2006,2,Underperformers
27,2.0555555555555554,0.6666666666666666,4.465188517490838,-3.3,7.0,18.055555555555557,16.0,0.11384615384615382,18,2006,2,Underperformers
29,2.7142857142857144,1.0,1.7043362064926932,1.0,5.0,21.142857142857142,18.428571428571427,0.1283783783783784,7,2006,2,Underperformers
30,0.6666666666666666,0.5555555555555556,6.588760483268637,-3.1999999999999993,5.300000000000001,5.0,4.333333333333333,0.13333333333333333,18,2006,0,Consistent Climbers
31,-3.2,0.4,5.711586664161039,-9.2,2.1999999999999993,7.4,10.6,-0.43243243243243246,10,2006,1,Volatile Drivers
32,-1.4666666666666666,0.3333333333333333,4.033195589934446,-6.199999999999999,3.1999999999999993,13.266666666666667,14.733333333333333,-0.11055276381909546,15,2006,0,Consistent Climbers
33,2.7777777777777777,0.7222222222222222,3.335293541284777,-2.0,7.0,18.88888888888889,16.11111111111111,0.14705882352941177,18,2006,2,Underperformers
35,0.0,0.4166666666666667,4.842989309769892,-5.9,6.600000000000001,11.75,11.75,0.0,12,2006,0,Consistent Climbers
36,2.5714285714285716,0.7142857142857143,2.370453040886408,-0.3999999999999999,5.0,21.285714285714285,18.714285714285715,0.1208053691275168,7,2006,2,Underperformers
37,-0.375,0.75,6.885543862739841,-10.2,4.8999999999999995,9.125,9.5,-0.0410958904109589,8,2006,0,Consistent Climbers
1,-1.2941176470588236,0.29411764705882354,4.647105360898773,-3.8,1.4000000000000004,2.6470588235294117,3.9411764705882355,-0.48888888888888893,17,2007,0,Consistent Climbers
2,-1.1764705882352942,0.5294117647058824,4.461436065293986,-8.4,2.0,5.470588235294118,6.647058823529412,-0.21505376344086022,17,2007,0,Consistent Climbers
3,-0.9411764705882353,0.35294117647058826,5.1413834256366995,-7.8,5.0,9.941176470588236,10.882352941176471,-0.09467455621301775,17,2007,0,Consistent Climbers
4,-1.1176470588235294,0.4117647058823529,4.9608763457323795,-3.8,1.4000000000000004,2.8823529411764706,4.0,-0.3877551020408163,17,2007,0,Consistent Climbers
5,2.3529411764705883,0.7058823529411765,5.361216938235528,-0.3999999999999999,6.000000000000002,10.764705882352942,8.411764705882353,0.2185792349726776,17,2007,2,Underperformers
8,-0.6470588235294118,0.47058823529411764,5.600682731491182,-5.799999999999999,2.0,3.588235294117647,4.235294117647059,-0.18032786885245902,17,2007,0,Consistent Climbers
9,-2.0,0.5,5.808040403899867,-10.0,2.5,6.875,8.875,-0.2909090909090909,16,2007,0,Consistent Climbers
11,2.8823529411764706,0.7647058823529411,3.120143284794315,-1.4,6.0,17.235294117647058,14.352941176470589,0.1672354948805461,17,2007,2,Underperformers
13,-1.8235294117647058,0.17647058823529413,6.366271417769264,-8.799999999999999,1.0,3.8823529411764706,5.705882352941177,-0.46969696969696967,17,2007,1,Volatile Drivers
14,0.23529411764705882,0.4117647058823529,5.9216700744459105,-7.8,5.600000000000001,13.470588235294118,13.235294117647058,0.017467248908296942,17,2007,0,Consistent Climbers
15,-3.1176470588235294,0.17647058823529413,4.728667266540018,-9.399999999999999,1.4000000000000004,9.235294117647058,12.352941176470589,-0.33757961783439494,17,2007,1,Volatile Drivers
16,3.2941176470588234,0.7058823529411765,3.6187827007564457,-1.0,7.0,20.41176470588235,17.11764705882353,0.16138328530259366,17,2007,2,Underperformers
17,-4.529411764705882,0.29411764705882354,6.384724417103133,-13.8,2.0,9.117647058823529,13.647058823529411,-0.4967741935483871,17,2007,1,Volatile Drivers
18,0.11764705882352941,0.47058823529411764,4.5122382602924525,-5.0,6.200000000000001,13.882352941176471,13.764705882352942,0.00847457627118644,17,2007,0,Consistent Climbers
19,0.4117647058823529,0.5294117647058824,4.169214907051023,-5.0,5.4,16.058823529411764,15.647058823529411,0.02564102564102564,17,2007,0,Consistent Climbers
20,-1.0,0.25,7.111359122659224,-6.8,6.699999999999998,14.375,15.375,-0.06956521739130435,8,2007,0,Consistent Climbers
21,-0.058823529411764705,0.5294117647058824,5.11701314532333,-6.3999999999999995,5.4,10.529411764705882,10.588235294117647,-0.00558659217877095,17,2007,0,Consistent Climbers
22,2.1176470588235294,0.7647058823529411,3.7729688731351945,-2.5999999999999996,6.4,14.941176470588236,12.823529411764707,0.14173228346456693,17,2007,2,Underperformers
23,-1.2941176470588236,0.5294117647058824,6.677992829832487,-11.6,4.0,12.411764705882353,13.705882352941176,-0.1042654028436019,17,2007,0,Consistent Climbers
24,-0.29411764705882354,0.4117647058823529,3.9332668655068543,-3.8,5.0,15.705882352941176,16.0,-0.018726591760299626,17,2007,0,Consistent Climbers
25,2.75,0.5,5.870831854743131,-4.0,9.5,15.375,12.625,0.17886178861788618,16,2007,2,Underperformers
26,0.4,0.4,4.880801391392834,-3.1,7.199999999999999,17.8,17.4,0.02247191011235955,10,2007,0,Consistent Climbers
27,4.333333333333333,0.7777777777777778,3.3166247903554003,0.0,7.2,21.444444444444443,17.11111111111111,0.20207253886010362,9,2007,2,Underperformers
29,3.142857142857143,0.7142857142857143,3.5790395093549625,0.0,7.000000000000002,21.571428571428573,18.428571428571427,0.1456953642384106,7,2007,2,Underperformers
1,-2.1666666666666665,0.2777777777777778,6.012242412239332,-10.3,2.3000000000000007,3.0555555555555554,5.222222222222222,-0.7090909090909091,18,2008,1,Volatile Drivers
2,2.5,0.6666666666666666,3.034119699837364,-1.0,6.300000000000001,9.0,6.5,0.2777777777777778,18,2008,2,Underperformers
3,1.0555555555555556,0.6666666666666666,4.964251287925824,-6.199999999999999,6.300000000000001,11.944444444444445,10.88888888888889,0.08837209302325581,18,2008,2,Underperformers
4,-0.3333333333333333,0.5,6.650961894165915,-9.2,5.200000000000003,7.111111111111111,7.444444444444445,-0.046875,18,2008,0,Consistent Climbers
5,-4.0,0.16666666666666666,5.00587889679842,-11.6,1.0,3.888888888888889,7.888888888888889,-1.0285714285714287,18,2008,1,Volatile Drivers
6,2.388888888888889,0.7222222222222222,3.7280950645681656,-3.0,7.0,15.055555555555555,12.666666666666666,0.15867158671586715,18,2008,2,Underperformers
7,-0.7222222222222222,0.3333333333333333,5.154159434585255,-4.3,3.6000000000000014,13.5,14.222222222222221,-0.053497942386831275,18,2008,0,Consistent Climbers
8,-2.5555555555555554,0.3333333333333333,6.861848680950451,-14.0,3.6000000000000014,4.444444444444445,7.0,-0.575,18,2008,1,Volatile Drivers
9,0.5,0.5555555555555556,4.0908793819479765,-4.8999999999999995,4.600000000000001,6.111111111111111,5.611111111111111,0.08181818181818182,18,2008,0,Consistent Climbers
10,0.3888888888888889,0.5555555555555556,5.6060774678168155,-9.6,6.0,10.833333333333334,10.444444444444445,0.035897435897435895,18,2008,0,Consistent Climbers
12,0.6111111111111112,0.5555555555555556,7.0388743158254305,-8.3,8.3,13.666666666666666,13.055555555555555,0.04471544715447155,18,2008,0,Consistent Climbers
13,-3.111111111111111,0.3333333333333333,5.949680059503831,-12.6,1.0,2.9444444444444446,6.055555555555555,-1.0566037735849056,18,2008,1,Volatile Drivers
14,-0.5,0.4444444444444444,5.752237416355277,-9.0,6.300000000000001,12.722222222222221,13.222222222222221,-0.039301310043668124,18,2008,0,Consistent Climbers
15,-1.6111111111111112,0.4444444444444444,5.214672612687813,-6.8999999999999995,3.5000000000000036,7.888888888888889,9.5,-0.20422535211267606,18,2008,0,Consistent Climbers
16,1.6666666666666667,0.8333333333333334,2.0291986247835694,-0.2999999999999998,4.0,19.38888888888889,17.72222222222222,0.08595988538681949,18,2008,2,Underperformers
17,-1.1111111111111112,0.4444444444444444,4.701550293615787,-8.0,4.300000000000001,8.88888888888889,10.0,-0.125,18,2008,0,Consistent Climbers
18,1.1111111111111112,0.7222222222222222,4.613138384184241,-3.5999999999999996,4.900000000000002,14.833333333333334,13.722222222222221,0.0749063670411985,18,2008,2,Underperformers
20,-0.2222222222222222,0.4444444444444444,6.44940084363114,-9.3,7.100000000000005,11.277777777777779,11.5,-0.019704433497536943,18,2008,0,Consistent Climbers
21,2.5555555555555554,0.8333333333333334,3.868762109698386,-1.8999999999999995,6.0,18.61111111111111,16.055555555555557,0.1373134328358209,18,2008,2,Underperformers
22,1.0555555555555556,0.5555555555555556,5.150353753952215,-3.5999999999999996,5.5000000000000036,14.944444444444445,13.88888888888889,0.07063197026022305,18,2008,0,Consistent Climbers
1,-0.7058823529411765,0.5294117647058824,7.9825176626985375,-11.8,5.4,9.0,9.705882352941176,-0.0784313725490196,17,2009,0,Consistent Climbers
2,1.2941176470588236,0.5294117647058824,4.870378654200731,-3.1999999999999997,6.800000000000001,11.764705882352942,10.470588235294118,0.11,17,2009,2,Underperformers
3,0.17647058823529413,0.5294117647058824,5.027863538791192,-8.0,4.800000000000001,8.411764705882353,8.235294117647058,0.02097902097902098,17,2009,0,Consistent Climbers
4,-0.8823529411764706,0.5294117647058824,5.956953425841691,-8.2,3.8000000000000007,8.941176470588236,9.823529411764707,-0.09868421052631579,17,2009,0,Consistent Climbers
5,-0.23529411764705882,0.4117647058823529,5.117731574690904,-6.4,7.4,10.882352941176471,11.117647058823529,-0.02162162162162162,17,2009,0,Consistent Climbers
6,-1.0588235294117647,0.35294117647058826,4.069253436370333,-6.0,3.200000000000001,12.647058823529411,13.705882352941176,-0.08372093023255814,17,2009,0,Consistent Climbers
7,3.6666666666666665,0.6666666666666666,4.6097722286464435,-2.0,8.0,17.666666666666668,14.0,0.20754716981132074,9,2009,2,Underperformers
8,-0.17647058823529413,0.47058823529411764,4.1718595092243795,-5.4,4.4,8.058823529411764,8.235294117647058,-0.021897810218978103,17,2009,0,Consistent Climbers
9,-0.35294117647058826,0.5882352941176471,5.147100840164638,-7.6,5.4,11.352941176470589,11.705882352941176,-0.031088082901554404,17,2009,0,Consistent Climbers
10,2.2666666666666666,0.6,5.391351098441528,-4.6,9.2,10.933333333333334,8.666666666666666,0.2073170731707317,15,2009,2,Underperformers
12,0.6,0.6,3.5023801430836525,-3.4,4.1,14.6,14.0,0.0410958904109589,10,2009,0,Consistent Climbers
13,-1.2,0.5,6.390965845976995,-9.1,7.0,8.9,10.1,-0.1348314606741573,10,2009,0,Consistent Climbers
15,-2.5294117647058822,0.35294117647058826,6.874933154755247,-14.0,5.0,8.0,10.529411764705882,-0.3161764705882353,17,2009,1,Volatile Drivers
16,-1.2352941176470589,0.4117647058823529,5.437478870817636,-8.4,2.0,13.588235294117647,14.823529411764707,-0.09090909090909091,17,2009,0,Consistent Climbers
17,-0.11764705882352941,0.5882352941176471,4.794298083937528,-5.199999999999999,3.0,7.0588235294117645,7.176470588235294,-0.016666666666666666,17,2009,0,Consistent Climbers
18,1.2352941176470589,0.47058823529411764,3.133077795170148,-2.0,5.200000000000001,5.588235294117647,4.352941176470588,0.2210526315789474,17,2009,2,Underperformers
20,-3.0,0.35294117647058826,7.729812416870153,-14.4,3.200000000000001,3.8823529411764706,6.882352941176471,-0.7727272727272727,17,2009,1,Volatile Drivers
21,4.176470588235294,0.8235294117647058,2.789159687917829,-0.3999999999999999,7.0,16.58823529411765,12.411764705882353,0.25177304964539005,17,2009,2,Underperformers
22,-1.3529411764705883,0.35294117647058826,4.595394113547121,-5.199999999999999,2.4000000000000004,4.0588235294117645,5.411764705882353,-0.33333333333333337,17,2009,0,Consistent Climbers
24,1.2,0.8,6.457553716385176,-5.199999999999999,5.6,15.6,14.4,0.07692307692307693,5,2009,2,Underperformers
67,0.0,0.5294117647058824,4.924428900898052,-6.6,4.800000000000001,14.411764705882353,14.411764705882353,0.0,17,2009,0,Consistent Climbers
153,-0.125,0.5,3.563204817496262,-3.5999999999999996,3.5999999999999996,16.875,17.0,-0.007407407407407408,8,2009,0,Consistent Climbers
154,-0.14285714285714285,0.42857142857142855,1.6761634196950517,-1.7999999999999998,1.4000000000000004,16.285714285714285,16.428571428571427,-0.008771929824561403,7,2009,0,Consistent Climbers
1,-1.5263157894736843,0.5263157894736842,7.9538140470303205,-15.2,4.199999999999999,4.894736842105263,6.421052631578948,-0.31182795698924737,19,2010,1,Volatile Drivers
2,1.2,0.6,3.03315017762062,-2.2,3.6,13.8,12.6,0.08695652173913043,5,2010,2,Underperformers
3,-0.9473684210526315,0.631578947368421,6.963984206141755,-11.2,5.199999999999999,7.315789473684211,8.263157894736842,-0.12949640287769784,19,2010,0,Consistent Climbers
4,0.47368421052631576,0.5789473684210527,6.104355649430727,-5.3999999999999995,4.399999999999999,5.894736842105263,5.421052631578948,0.08035714285714286,19,2010,0,Consistent Climbers
5,2.3157894736842106,0.6842105263157895,3.888053377247731,-3.0,7.199999999999999,19.31578947368421,17.0,0.11989100817438694,19,2010,2,Underperformers
9,-1.3157894736842106,0.5263157894736842,6.5494073657167835,-13.4,3.599999999999998,7.0,8.31578947368421,-0.1879699248120301,19,2010,0,Consistent Climbers
10,1.0526315789473684,0.631578947368421,3.5035487439408612,-1.7999999999999998,4.399999999999999,19.842105263157894,18.789473684210527,0.05305039787798409,19,2010,2,Underperformers
13,-0.05263157894736842,0.42105263157894735,6.586802328313846,-8.0,5.199999999999992,7.7894736842105265,7.842105263157895,-0.006756756756756756,19,2010,0,Consistent Climbers
15,0.10526315789473684,0.47368421052631576,3.57296541703737,-4.2,5.199999999999999,19.36842105263158,19.263157894736842,0.005434782608695652,19,2010,0,Consistent Climbers
16,0.0,0.42105263157894735,4.749268949591669,-5.6,6.199999999999999,11.736842105263158,11.736842105263158,0.0,19,2010,0,Consistent Climbers
17,-3.526315789473684,0.21052631578947367,6.7360425329601314,-9.799999999999999,1.0,2.526315789473684,6.052631578947368,-1.3958333333333333,19,2010,1,Volatile Drivers
18,0.5789473684210527,0.631578947368421,6.743851433991016,-7.0,6.599999999999998,6.947368421052632,6.368421052631579,0.08333333333333333,19,2010,0,Consistent Climbers
20,-4.0,0.21052631578947367,6.582805886043833,-16.0,1.1999999999999993,2.0,6.0,-2.0,19,2010,1,Volatile Drivers
22,-1.5263157894736843,0.3684210526315789,5.757781411587777,-8.2,3.3999999999999986,9.526315789473685,11.052631578947368,-0.16022099447513813,19,2010,0,Consistent Climbers
24,0.3157894736842105,0.5789473684210527,6.209782887410149,-7.2,6.399999999999999,15.263157894736842,14.947368421052632,0.020689655172413793,19,2010,0,Consistent Climbers
29,4.571428571428571,1.0,2.878491668515698,1.0,8.0,23.285714285714285,18.714285714285715,0.19631901840490798,7,2010,2,Underperformers
30,-0.631578947368421,0.631578947368421,5.41818467258166,-6.6,4.0,9.421052631578947,10.052631578947368,-0.0670391061452514,19,2010,0,Consistent Climbers
37,-2.0714285714285716,0.5,6.855253860690024,-11.4,3.700000000000001,14.428571428571429,16.5,-0.14356435643564358,14,2010,0,Consistent Climbers
67,0.3157894736842105,0.5789473684210527,4.865440845379074,-7.2,5.399999999999999,14.789473684210526,14.473684210526315,0.021352313167259787,19,2010,0,Consistent Climbers
153,2.6842105263157894,0.7368421052631579,3.757254192136524,-1.4,6.0,15.631578947368421,12.947368421052632,0.1717171717171717,19,2010,2,Underperformers
155,-0.8947368421052632,0.42105263157894735,7.49736795921005,-11.0,9.399999999999999,13.789473684210526,14.68421052631579,-0.0648854961832061,19,2010,0,Consistent Climbers
807,-3.1052631578947367,0.3157894736842105,5.290397347417985,-11.4,2.1999999999999993,10.947368421052632,14.052631578947368,-0.28365384615384615,19,2010,1,Volatile Drivers
808,-0.10526315789473684,0.5263157894736842,5.762857478351298,-6.4,4.599999999999998,13.526315789473685,13.631578947368421,-0.007782101167315174,19,2010,0,Consistent Climbers
810,2.789473684210526,0.7894736842105263,3.137212977016048,-1.2,6.0,22.105263157894736,19.31578947368421,0.1261904761904762,19,2010,2,Underperformers
811,3.5,0.8888888888888888,3.312187832127598,0.40000000000000036,7.300000000000001,22.77777777777778,19.27777777777778,0.15365853658536585,18,2010,2,Underperformers
812,5.4,0.9,3.062315754094894,1.8,9.1,23.4,18.0,0.2307692307692308,10,2010,2,Underperformers
1,-3.4210526315789473,0.3157894736842105,7.388548116839587,-18.2,1.1999999999999993,3.3157894736842106,6.7368421052631575,-1.0317460317460316,19,2011,1,Volatile Drivers
2,-0.3,0.6,7.916929820187733,-11.2,8.0,12.4,12.7,-0.024193548387096774,10,2011,0,Consistent Climbers
